Temporada,Num Programa Temporada,Num Programa Global,Fecha,Tema,Tema Descripcion,Recomendacion Tipo,Recomendacion Titulo,Recomendacion Mas Info,Recomendacion Link,Musica Titulo,Musica Compositor,Musica Interprete,Musica Origen,Musica Mas Info,Musica Link,Archivo Audio,Advertencia,Fe de Erratas
5,24,194,11 de Agosto de 2022,Tipos de Galaxias,Tercera Parte (Galaxias Activas),Libro,La galaxia no responde. Introducción a la Exobiología.,Gilberto Moreno Castañeda. Universidad de Guadalajara. 1973.,,Come And Get Your Love,,Redbone,,"Los Guardianes de la Galaxia, Awesome Mix",,UNA_VENTANA_AL_UNIVERSO_11_AGOSTO_22.mp3,,
5,23,193,4 de Agosto de 2022,Tipos de Galaxias,Segunda Parte,Libro,"Viaje a través del universo, GALAXIAS II",TIME/LIFE folio,,Galaxia,,Sidecars,,,https://www.youtube.com/watch?v=Ix2W4JVWzKg,UNA_VENTANA_AL_UNIVERSO_04_AGOSTO_22.mp3,,
5,22,192,28 de Julio de 2022,Tipos de Galaxias,Primera Parte,Libro,"Viaje a través del universo, GALAXIAS I",TIME/LIFE folio,,Sophos - Música Electrónica Espacial,Ulises Labaronnie,"Rodrigo Etchebarne, Ulises Labaronnie",,,https://www.youtube.com/watch?v=RxmTIxevMFw,UNA_VENTANA_AL_UNIVERSO_28_JULIO_22.mp3,,
5,21,191,21 de Julio de 2022,Nebulosas,,Libro,Estrellas Binarias Interactivas,"Juan Echeverria, Fondo de Cultura Economica, num 49. Fecha de Publicación: 1987",,Symphony No.14 in D-major ,William Herschel ,,,,https://www.youtube.com/watch?v=3mV-ZSzgs8Q,UNA_VENTANA_AL_UNIVERSO_21_JULIO_22.mp3,,
5,20,190,14 de Julio de 2022,Última Frontera: El Telescopio James Webb,,Película,A Través del Universo,2007,https://www.imdb.com/title/tt0445922/,Across the Universe,John Lennon,The Beatles,,,https://www.youtube.com/watch?v=HkGvaM-bIjY,UNA_VENTANA_AL_UNIVERSO_14_JULIO_22.mp3,,
5,19,189,7 de Julio de 2022,Estrellas Enanas Blancas,Cercanas a una estrella de la secuencia principal,Película,Nova,,https://www.youtube.com/watch?v=7Uex9OHoS00,Supernova,,Raymix,,,https://www.youtube.com/watch?v=5G67DeVS24c,UNA_VENTANA_AL_UNIVERSO_07_JULIO_22.mp3,,
5,18,188,30 de Junio de 2022,Los Arquitectos del Cielo,Tercera entrega: Newton,Libro,"La Ley de la Gravedad, NEWTON, La fuerza más atractiva del universo",National Geographic,,La Cumbia de las tres leyes de Newton,,Joel Peralta,,,https://www.youtube.com/watch?v=g4Y90GswWFo,UNA_VENTANA_AL_UNIVERSO_30_JUNIO_22.mp3,,
5,17,187,23 de Junio de 2022,Los Arquitectos del Cielo,Segunda entrega: Kepler,Libro,"El Movimiento Planetario, Kepler, Bailando con las estrellas",National Geographic,,Space Oddity,,David Bowie,,,https://www.youtube.com/watch?v=iYYRH4apXDo,UNA_VENTANA_AL_UNIVERSO_23_JUNIO_22.mp3,,
5,16,186,16 de Junio de 2022,Los Arquitectos del Cielo,Primera entrega: Copérnico,Libro,El Heliocentrismo: Copérnico. A vueltas con la Tierra.,National Geographic,,"The Planets - IV. Jupiter, the Bringer of Jollity",Gustav Holst,"BBC Symphony Orchestra. Susanna Mälkki, Conductor.",,,https://www.youtube.com/watch?v=BUM_zT3YKHs,UNA_VENTANA_AL_UNIVERSO_16_JUNIO_22.mp3,,
5,15,185,9 de Junio de 2022,El fin del Sistema Solar,,Serie,"Love, Death & Robots, Tercera Temporada",Se estrenó el 20 de mayo de 2022 en Netflix,,The Elephants,,Joe Satriani,,,https://www.youtube.com/watch?v=kXHmPuqqSZ8,UNA_VENTANA_AL_UNIVERSO_09_JUNIO_22.mp3,,
5,14,184,2 de Junio de 2022,Cuerpos menores del Sistema Solar,,Libro,The Planets: The Definitive Visual Guide to Our Solar System," SMITHSONIAN ed. DK, por Robert Dinwiddie",,"Los Planetas, op 32",Gustav Holst,,,Suite orquestal en siete movimientos,,UNA_VENTANA_AL_UNIVERSO_02_JUNIO_22.mp3,,
5,13,183,26 de Mayo de 2022,Selenografía Lunar,,Película,Blade Runner,También conocida como El cazador implacable en algunos países de Hispanoamérica,,Blade Runner,,Vangelis,,Banda sonora del film homónimo de Ridley Scott estrenado en 1982,,UNA_VENTANA_AL_UNIVERSO_26_MAYO_22.mp3,,
5,12,182,19 de Mayo de 2022,Eclipses de Luna,,Libro,Viaje Alrededor de la Luna,Julio Verne,,"Sonata para piano n.º 14 en do sostenido menor «Quasi una fantasía», Op. 27, n.º 2",Ludwig van Beethoven,,,Popularmente conocida como Claro de Luna,,UNA_VENTANA_AL_UNIVERSO_02_19_MAYO_22.mp3,,
5,11,181,12 de Mayo de 2022,Reporte del Congreso RAAM 2022,Carta Bernal,,,,,Clair de Lune (versión de Isao Tomita),Debussy,,,,https://www.youtube.com/watch?v=AUC8zqwe_CE,UNA_VENTANA_AL_UNIVERSO_12_MAYO_22.restaurado.mp3,Debido a fallas de origen una parte de la transmisión no fue grabada. La falla ocurre alrededor de los 10 min con 50 seg de la grabación,El tema musical escuchado en la grabación no corresponde con la versión de Isao Tomita. La versión correcta se puede escuchar siguiendo el link en el título del tema musical.
